Address,Currency
0x898fee5c9c879ff2590a92f2f63e0e387ecd516c,ETH
0x07829350bfb5f8d8be190416b32cf0449e5791ed,ETH
0x38a8ca462a44ea9d6e2d4313d9ea835fd48f32ed,ETH
0x7d54acce5497602b2c925ed8c4bd5218cbf81f12,ETH
0x256441e29906b0053844696c86b09d76de28c2ae,ETH
0xd8fc409cb2750fbd7f5fcc6f1b45730f92f9b20d,ETH
0x9dd98473b14c37741d495dc95efcc97a3aecdc29,ETH
0x358a339c6434797cd3f7113f6fef5b7260a90084,ETH
0x7d586077f034c187b37ee45210b81f9184681f12,ETH
0x7b4e78dee3ad781197f88a65597c77160a56dcbd,ETH
0x3a9f87c06c0abfc72d4f1937edbd0f51f2542b07,ETH
0x1f91b0b14ad200cbcd72127bfde827ec2f6b5a62,ETH
0x1bf8fdd99a12616a18c726f03aa335fef3ce4a7b,ETH
0x608b74e35357a40e39cf4e9400327eb1e5b4481a,ETH
0x9ef5bc3cf2160781a26974e0bc654d40572e05a3,ETH
0x5fe35732ce44b9d4b446364a08e4059b13c2a2f9,ETH
0x54686cb726586a1f3496d23c2b3b146ed3a85497,ETH
0x508dee8d2747689e4cc29a78a4f6bee5744679de,ETH
0x106d109e15996161e5b5513535a8a60a52d4137a,ETH
0x310c8b5d6543042f401acea82e47e6c1b47ccff3,ETH
0xd8c79ece5adebc557f013ee36004f5891c276734,ETH
0x1291166cad19370cf8e1edf808ca6741522767ac,ETH
0xcc4000046221a35b2c101a5bdf57c87b11dfdfc8,ETH
0xfdfa374e95e0b00e04b58c0bd4eb3986fe9b3b9f,ETH
0xfdfd61c7709f4e114d6f1dd2109f780d95ab3b9f,ETH
0xd5fd0ea6088cabf69d6122695cd7143ffd0b58cb,ETH
0x83f0ef102d08b39de2162b39cc71d76e95333d48,ETH
0xafcd0b1fc8ce0b33670fdc475bba4bf5a0b8659d,ETH
0xd4f400cea0f24f3b44455f808d4b2d109ce03719,ETH
0xac267a64c4c3cedee6583fe5f3481e5c572d5f00,ETH
0xe9c7647eefc18e45836bad1bbc2c19ad05eee1be,ETH
0x41b3b91ea2bda3c6da5ad3a7c32fc656dc53e0d0,ETH
0x200b951b9978d3929268158543eb1f04ed2bd876,ETH
0xc7b6bc6cc32025f368a599bb7c48cedb496381a5,ETH
0xb5bd1b97b8c486cab33ef034089e4bd540bc931e,ETH
0x25a58325a7e22d8ee75fc248918febda0795750c,ETH
0xe57a01e1397c946389bf054c373a15fe5766c9de,ETH
0x68765646c9daab1567f639489b73f72cce21ef72,ETH
0x055a28c24bc83436378e7961bdcff7023e129f05,ETH
0x2eaea0f5b58ad7925a0e62b341c76e907cdda653,ETH
0xe39d4c4fc00751f9baed085f167cccd994c7df40,ETH
0x945df1b60f67ed626b3f832d8634a1b6c87c4699,ETH
0x168c994b353c4c800441ff265ef1afe100a34095,ETH
